id_filename,decision_sign,name,party,legal area,entscheid
8552,1C_375/2024,Müller,SVP,Öffentliches Recht,abgewiesen
8553,8C_631/2024,Métral,Grüne,Öffentliches Recht,gutgeheissen
8554,9C_630/2024,Beusch,SP,Öffentliches Recht,teilweise gutgeheissen
8555,4A_135/2025,May Canellas,Die Mitte,Zivilrecht,abgewiesen
8558,9C_514/2023,Parrino,SP,Öffentliches Recht,teilweise gutgeheissen
8560,9C_525/2024,Bollinger,SVP,Öffentliches Recht,abgewiesen
8561,5A_20/2025,Josi,SVP,Zivilrecht,nicht eingetreten
8565,2C_221/2025,Kradolfer,FDP,Öffentliches Recht,abgewiesen
8566,"1C_134/2024, 1C_143/2024",Müller,SVP,Öffentliches Recht,abgewiesen
8567,6B_821/2024,Muschietti,FDP,Strafrecht,abgewiesen
8568,2C_415/2024,Ryter,SP,Öffentliches Recht,abgeschrieben
8571,2C_486/2024,Hänni,Die Mitte,Öffentliches Recht,gutgeheissen
8572,5A_29/2025,Josi,SVP,Zivilrecht,abgewiesen
8573,7B_762/2023,Koch,SP,Strafrecht,abgewiesen
8574,1C_440/2024,Pont Veuthey,Mitte,Öffentliches Recht,abgewiesen
8575,1C_674/2023,Pont Veuthey,Mitte,Öffentliches Recht,abgewiesen
8576,7B_731/2023,Schär,FDP,Strafrecht,abgewiesen
8577,1C_165/2025,Merz,Mitte,Öffentliches Recht,abgewiesen
8578,1C_670/2024,Müller,SVP,Öffentliches Recht,abgewiesen
8579,5A_650/2024,De Rossa,SP,Zivilrecht,abgewiesen
8581,1C_531/2024,Kneubühler,SP,Öffentliches Recht,abgewiesen
8582,6B_1298/2023,Wohlhauser,SP,Strafrecht,abgewiesen
8583,7B_665/2023,Hofmann,Die Mitte,Strafrecht,abgewiesen
8584,9C_621/2024,Bollinger,SVP,Öffentliches Recht,teilweise gutgeheissen
8585,2C_645/2024,Ryter,SP,Öffentliches Recht,abgewiesen
8586,5A_301/2024,Hartmann,Grüne,Zivilrecht,gutgeheissen
8587,6B_1080/2023,Guidon,SVP,Strafrecht,abgewiesen
8588,6B_128/2025,Guidon,SVP,Strafrecht,abgewiesen
8589,6B_236/2025,Guidon,SVP,Strafrecht,abgewiesen
8590,6B_978/2024,Guidon,SVP,Strafrecht,abgewiesen
8591,6B_993/2024,Guidon,SVP,Strafrecht,nicht eingetreten
8592,"7B_984/2024, 7B_1011/2024, 7B_1015/2024",van de Graaf,SVP,Strafrecht,abgewiesen
8593,"5A_874/2024, 5A_875/2024",Josi,SVP,Zivilrecht,abgewiesen
8594,8C_451/2024,Scherrer Reber,FDP,Öffentliches Recht,gutgeheissen
8595,8C_464/2024,Scherrer Reber,FDP,Öffentliches Recht,abgewiesen
8596,8C_466/2024,Scherrer Reber,FDP,Öffentliches Recht,abgewiesen
8597,9C_13/2025,Beusch,SP,Öffentliches Recht,abgewiesen
8598,9C_489/2024,Parrino,SP,Öffentliches Recht,abgewiesen
8599,5A_100/2025,Josi,SVP,Zivilrecht,abgewiesen
859,9C_173/2025,Bollinger,SVP,Öffentliches Recht,teilweise gutgeheissen
85,2C_47/2025,Hänni,Die Mitte,Öffentliches Recht,abgewiesen
8600,5A_750/2024,Hartmann,Grüne,Zivilrecht,abgewiesen
8601,6B_724/2023,von Felten,Die Mitte,Strafrecht,gutgeheissen
8602,6B_874/2024,von Felten,Die Mitte,Strafrecht,abgewiesen
8605,"9C_167/2025, 9C_168/2025, 9C_169/2025, 9C_170/2025, 9C_171/2025",Parrino,SP,Öffentliches Recht,abgewiesen
8606,"9C_294/2024, 9C_332/2024",Beusch,SP,Öffentliches Recht,nicht eingetreten
8608,8C_714/2024,Métral,Grüne,Öffentliches Recht,gutgeheissen
8609,8C_6/2025,Métral,Grüne,Öffentliches Recht,abgewiesen
8610,8C_664/2024,Métral,Grüne,Öffentliches Recht,teilweise gutgeheissen
8611,8C_680/2024,Heine,SVP,Öffentliches Recht,abgewiesen
8612,2C_237/2024,Kradolfer,FDP,Öffentliches Recht,nicht eingetreten
8614,7B_341/2025,Hofmann,Die Mitte,Strafrecht,abgewiesen
8615,9C_462/2024,Beusch,SP,Öffentliches Recht,abgewiesen
8616,9C_607/2024,Bollinger,SVP,Öffentliches Recht,abgewiesen
8619,1C_200/2025,Merz,Mitte,Öffentliches Recht,abgewiesen
8620,7B_769/2023,Hofmann,Die Mitte,Strafrecht,teilweise gutgeheissen
8621,9C_51/2025,Beusch,SP,Öffentliches Recht,gutgeheissen
8623,7B_369/2025,Koch,SP,Strafrecht,abgewiesen
8630,"5D_14/2024, 5D_15/2024, 5D_16/2024, 5D_19/2024",De Rossa,SP,Subsidiäre Verfassungsbeschwerde,abgewiesen
8638,2C_490/2024,Kradolfer,FDP,Öffentliches Recht,abgewiesen
8639,7B_681/2024,Kölz,Grüne,Strafrecht,abgewiesen
8640,6B_109/2024,van de Graaf,SVP,Strafrecht,abgewiesen
8641,6B_111/2024,van de Graaf,SVP,Strafrecht,gutgeheissen
8642,6B_115/2024,van de Graaf,SVP,Strafrecht,teilweise gutgeheissen
8643,"5A_735/2024, 5A_736/2024",Hartmann,Grüne,Zivilrecht,abgewiesen
8644,1C_476/2024,Weber,FDP,Öffentliches Recht,abgewiesen
8645,5A_622/2024,De Rossa,SP,Zivilrecht,abgewiesen
8646,7B_217/2025,Kölz,Grüne,Strafrecht,nicht eingetreten
8647,"5A_553/2024, 5A_554/2024",Josi,SVP,Zivilrecht,abgewiesen
8648,5A_714/2024,Hartmann,Grüne,Zivilrecht,abgewiesen
8649,4A_564/2024,Rüedi,SVP,Zivilrecht,abgewiesen
864,2C_384/2025,Kradolfer,FDP,Öffentliches Recht,nicht eingetreten
8650,4A_611/2024,Rüedi,SVP,Zivilrecht,abgewiesen
8651,4A_14/2025,Denys,Grüne,Zivilrecht,abgewiesen
8652,9C_488/2023,Parrino,SP,Öffentliches Recht,gutgeheissen
8653,8C_730/2024,Métral,Grüne,Öffentliches Recht,abgewiesen
8654,4A_54/2025,May Canellas,Die Mitte,Zivilrecht,abgewiesen
8655,5A_583/2024,Josi,SVP,Zivilrecht,abgewiesen
8656,5A_68/2025,Josi,SVP,Zivilrecht,nicht eingetreten
8657,6B_86/2025,Wohlhauser,SP,Strafrecht,abgewiesen
8658,9C_516/2024,Beusch,SP,Öffentliches Recht,abgewiesen
8659,6B_362/2024,Wohlhauser,SP,Strafrecht,abgewiesen
865,7B_1050/2024,Schär,FDP,Strafrecht,abgewiesen
8660,6B_30/2025,Wohlhauser,SP,Strafrecht,abgewiesen
8661,4A_133/2024 / 4A_439/2024,Denys,Grüne,Zivilrecht,abgewiesen
8662,8C_458/2024,Scherrer Reber,FDP,Öffentliches Recht,abgewiesen
8663,4A_569/2024,Kiss,FDP,Zivilrecht,abgewiesen
8668,7B_247/2023,Hofmann,Die Mitte,Strafrecht,teilweise gutgeheissen
8669,5A_263/2025,Josi,SVP,Zivilrecht,nicht eingetreten
866,7B_1360/2025,Koch,SP,Strafrecht,gutgeheissen
8670,4A_309/2024,May Canellas,Die Mitte,Zivilrecht,nicht eingetreten
8672,5A_251/2025,Josi,SVP,Zivilrecht,abgewiesen
8674,2C_587/2024,Kradolfer,FDP,Öffentliches Recht,abgewiesen
8675,2C_227/2024,Hänni,Die Mitte,Öffentliches Recht,gutgeheissen
8676,2C_423/2024,Hänni,Die Mitte,Öffentliches Recht,nicht eingetreten
8677,7F_14/2025,Koch,SP,AndererBereich,nicht eingetreten
8678,2C_621/2024,Kradolfer,FDP,Öffentliches Recht,nicht eingetreten
8679,8C_608/2024,Heine,SVP,Öffentliches Recht,abgewiesen
867,9F_7/2026,Beusch,SP,AndererBereich,abgewiesen
8680,2C_178/2025,Kradolfer,FDP,Öffentliches Recht,abgewiesen
8681,8C_372/2024,Scherrer Reber,FDP,Öffentliches Recht,andere
8682,8C_64/2024,Scherrer Reber,FDP,Öffentliches Recht,teilweise gutgeheissen
8683,"9C_245/2024, 9C_254/2024",Parrino,SP,Öffentliches Recht,gutgeheissen
8684,8C_646/2024,Métral,Grüne,Öffentliches Recht,abgewiesen
8685,9C_195/2025,Bollinger,SVP,Öffentliches Recht,abgewiesen
8686,5A_702/2024,Josi,SVP,Zivilrecht,nicht eingetreten
8688,5A_334/2025,Josi,SVP,Zivilrecht,abgewiesen
868,9F_8/2026,Beusch,SP,AndererBereich,abgewiesen
8690,5A_886/2024,Josi,SVP,Zivilrecht,abgewiesen
8698,1C_538/2024,Müller,SVP,Öffentliches Recht,abgewiesen
8699,1C_526/2023,Kneubühler,SP,Öffentliches Recht,abgewiesen
86,"1C_563/2025, 1C_566/2025, 1C_570/2025,",Kneubühler,SP,Öffentliches Recht,nicht eingetreten
8700,1C_381/2024,Pont Veuthey,Mitte,Öffentliches Recht,abgewiesen
8701,7B_235/2025,Kölz,Grüne,Strafrecht,abgewiesen
8702,7B_1145/2024,Hofmann,Die Mitte,Strafrecht,abgewiesen
8703,6B_1254/2023,Guidon,SVP,Strafrecht,abgewiesen
8704,4A_683/2024,Denys,Grüne,Zivilrecht,abgewiesen
8705,7B_1063/2024,Kölz,Grüne,Strafrecht,nicht eingetreten
8706,6B_143/2025,Wohlhauser,SP,Strafrecht,abgewiesen
8707,9C_216/2024,Beusch,SP,Öffentliches Recht,abgewiesen
8708,2C_220/2024,Hänni,Die Mitte,Öffentliches Recht,abgewiesen
8709,2C_480/2024,Hänni,Die Mitte,Öffentliches Recht,gutgeheissen
870,8C_201/2026,Métral,Grüne,Öffentliches Recht,abgewiesen
8710,"2C_116/2023, 2C_117/2023",Hänni,Die Mitte,Öffentliches Recht,teilweise gutgeheissen
8711,4F_9/2025,Rüedi,SVP,AndererBereich,abgewiesen
8716,4F_6/2025,Denys,Grüne,AndererBereich,abgewiesen
8718,5F_25/2025,De Rossa,SP,AndererBereich,nicht eingetreten
8719,5F_26/2025,De Rossa,SP,AndererBereich,abgewiesen
8720,7B_337/2025,Hofmann,Die Mitte,Strafrecht,gutgeheissen
8724,9F_6/2025,Beusch,SP,AndererBereich,nicht eingetreten
8725,1C_567/2024,Merz,Mitte,Öffentliches Recht,abgewiesen
8726,2C_27/2023,Ryter,SP,Öffentliches Recht,nicht eingetreten
8727,7B_959/2024,Koch,SP,Strafrecht,nicht eingetreten
8728,7B_1051/2023,Koch,SP,Strafrecht,abgewiesen
8729,1C_654/2024,Pont Veuthey,Mitte,Öffentliches Recht,abgewiesen
872,7B_320/2025,Hofmann,Die Mitte,Strafrecht,gutgeheissen
8730,7B_1345/2024,Hofmann,Die Mitte,Strafrecht,abgewiesen
8731,7B_267/2024,Koch,SP,Strafrecht,abgewiesen
8732,7B_273/2024,Koch,SP,Strafrecht,abgewiesen
8733,5A_110/2025,Josi,SVP,Zivilrecht,abgewiesen
8734,4A_633/2024,May Canellas,Die Mitte,Zivilrecht,nicht eingetreten
8735,8C_296/2024,Heine,SVP,Öffentliches Recht,abgewiesen
8738,5A_297/2025,Hartmann,Grüne,Zivilrecht,abgewiesen
873,7B_322/2026,Kölz,Grüne,Strafrecht,nicht eingetreten
8742,5F_21/2025,De Rossa,SP,AndererBereich,nicht eingetreten
8749,5A_336/2025,Josi,SVP,Zivilrecht,nicht eingetreten
8751,7B_375/2025,Kölz,Grüne,Strafrecht,abgewiesen
8755,9F_4/2025,Bollinger,SVP,AndererBereich,abgewiesen
8756,2C_17/2024,Hänni,Die Mitte,Öffentliches Recht,nicht eingetreten
8757,1C_250/2024,Merz,Mitte,Öffentliches Recht,abgewiesen
8758,8C_612/2024,Métral,Grüne,Öffentliches Recht,gutgeheissen
8759,9C_307/2024,Bollinger,SVP,Öffentliches Recht,abgewiesen
8761,9C_424/2024,Beusch,SP,Öffentliches Recht,gutgeheissen
8762,9C_569/2024,Beusch,SP,Öffentliches Recht,gutgeheissen
8763,1C_135/2025,Kneubühler,SP,Öffentliches Recht,nicht eingetreten
8765,4A_659/2024,May Canellas,Die Mitte,Zivilrecht,abgewiesen
8766,1C_549/2024,Petrik-Haltiner,SP,Öffentliches Recht,abgewiesen
8767,5A_221/2024,Josi,SVP,Zivilrecht,gutgeheissen
8768,1C_313/2024,Mecca,FDP,Öffentliches Recht,abgewiesen
8769,9C_193/2025,Bollinger,SVP,Öffentliches Recht,abgewiesen
8770,5A_340/2025,Josi,SVP,Zivilrecht,abgewiesen
8771,5A_361/2025,Josi,SVP,Zivilrecht,abgewiesen
8772,1C_204/2024,Pont Veuthey,Mitte,Öffentliches Recht,nicht eingetreten
8773,1C_83/2024,Mecca,FDP,Öffentliches Recht,abgewiesen
8774,1C_301/2024,Merz,Mitte,Öffentliches Recht,abgewiesen
8776,4A_456/2024,May Canellas,Die Mitte,Zivilrecht,abgewiesen
8777,5A_491/2024,Josi,SVP,Zivilrecht,gutgeheissen
8778,2C_442/2023,Hänni,Die Mitte,Öffentliches Recht,abgewiesen
8779,5A_198/2025,Josi,SVP,Zivilrecht,abgewiesen
8780,8C_404/2024,Heine,SVP,Öffentliches Recht,abgewiesen
8781,"7F_5/2025, 7F_6/2025",Hofmann,Die Mitte,AndererBereich,abgewiesen
8782,4A_62/2025,May Canellas,Die Mitte,Zivilrecht,abgewiesen
8783,4A_589/2024,Rüedi,SVP,Zivilrecht,abgewiesen
8784,7B_113/2023,Hofmann,Die Mitte,Strafrecht,abgewiesen
8785,4A_596/2024,May Canellas,Die Mitte,Zivilrecht,abgewiesen
8787,8C_566/2024,Métral,Grüne,Öffentliches Recht,abgewiesen
8788,9C_422/2024,Beusch,SP,Öffentliches Recht,gutgeheissen
8789,9C_558/2024,Beusch,SP,Öffentliches Recht,abgewiesen
878,9C_246/2026,Parrino,SP,Öffentliches Recht,abgewiesen
8790,9C_570/2024,Beusch,SP,Öffentliches Recht,abgewiesen
8791,2C_175/2024,Hänni,Die Mitte,Öffentliches Recht,abgewiesen
8792,5A_294/2025,Josi,SVP,Zivilrecht,abgewiesen
8794,5A_868/2024,De Rossa,SP,Zivilrecht,gutgeheissen
