id_filename,decision_sign,name,party,legal area,entscheid
124,5F_19/2026,De Rossa,SP,AndererBereich,abgewiesen
128,9C_630/2025,Beusch,SP,Öffentliches Recht,nicht eingetreten
132,5A_129/2026,Josi,SVP,Zivilrecht,abgewiesen
135,1C_356/2026,Müller,SVP,Öffentliches Recht,nicht eingetreten
136,9C_532/2025,Beusch,SP,Öffentliches Recht,abgewiesen
13,6B_432/2025,Wohlhauser,SP,Strafrecht,gutgeheissen
149,2C_142/2026,Kradolfer,FDP,Öffentliches Recht,abgewiesen
14,7B_707/2026,Hofmann,Die Mitte,Strafrecht,teilweise gutgeheissen
150,8C_140/2026,Métral,Grüne,Öffentliches Recht,gutgeheissen
153,1C_722/2025,Müller,SVP,Öffentliches Recht,abgewiesen
156,9C_208/2025,Bollinger,SVP,Öffentliches Recht,abgewiesen
157,7B_926/2025,Kölz,Grüne,Strafrecht,abgewiesen
158,9C_362/2025,Parrino,SP,Öffentliches Recht,abgewiesen
160,1C_362/2025,Merz,Mitte,Öffentliches Recht,abgewiesen
161,7B_110/2025,Koch,SP,Strafrecht,teilweise gutgeheissen
165,8C_490/2024,Scherrer Reber,FDP,Öffentliches Recht,abgewiesen
166,8C_675/2025,Scherrer Reber,FDP,Öffentliches Recht,abgewiesen
168,9C_310/2025,Beusch,SP,Öffentliches Recht,abgewiesen
169,9C_600/2025,Beusch,SP,Öffentliches Recht,teilweise gutgeheissen
16,5A_1078/2025,Josi,SVP,Zivilrecht,abgewiesen
170,8C_113/2026,Métral,Grüne,Öffentliches Recht,abgewiesen
171,8C_676/2025,Métral,Grüne,Öffentliches Recht,abgewiesen
172,9C_280/2026,Bollinger,SVP,Öffentliches Recht,abgewiesen
174,4A_528/2025,Rüedi,SVP,Zivilrecht,abgewiesen
175,1C_146/2025,Kneubühler,SP,Öffentliches Recht,gutgeheissen
176,6B_807/2025,Wohlhauser,SP,Strafrecht,gutgeheissen
177,8C_535/2025,Métral,Grüne,Öffentliches Recht,teilweise gutgeheissen
178,4A_513/2025,Denys,Grüne,Zivilrecht,abgewiesen
179,5A_842/2025,Hartmann,Grüne,Zivilrecht,abgewiesen
180,7B_1111/2025,Kölz,Grüne,Strafrecht,abgewiesen
